797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/dn
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/ps
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/pr
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/fo
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - End :font
797 DEBUG  [main]  Spider  - End :td
797 DEBUG  [main]  Spider  - Start :td
797 DEBUG  [main]  Spider  - Start :font
797 INFO  [main]  Spider  - a r/r1
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/sh
797 DEBUG  [main]  Spider  - End :a
797 DEBUG  [main]  Spider  - Simple Tag :br
797 INFO  [main]  Spider  - a r/ys
797 DEBUG  [main]  Spider  - End :a
812 DEBUG  [main]  Spider  - Simple Tag :br
812 INFO  [main]  Spider  - a r/ta
812 DEBUG  [main]  Spider  - End :a
812 DEBUG  [main]  Spider  - Simple Tag :br
812 INFO  [main]  Spider  - a r/tg
812 DEBUG  [main]  Spider  - End :a
812 DEBUG  [main]  Spider  - Simple Tag :br
812 INFO  [main]  Spider  - a r/yp
812 DEBUG  [main]  Spider  - End :a
812 DEBUG  [main]  Spider  - Simple Tag :br
812 DEBUG  [main]  Spider  - End :font
812 DEBUG  [main]  Spider  - Start :font
812 DEBUG  [main]  Spider  - Start :b
812 INFO  [main]  Spider  - a r/xy
812 DEBUG  [main]  Spider  - End :a
812 DEBUG  [main]  Spider  - End :b
812 DEBUG  [main]  Spider  - End :font
812 DEBUG  [main]  Spider  - End :td
812 DEBUG  [main]  Spider  - End :tr
812 DEBUG  [main]  Spider  - End :table
812 DEBUG  [main]  Spider  - End :td
812 DEBUG  [main]  Spider  - End :tr
